Name,Population (2011),Median Age (2011),Household Income (2011),Unemployment Rate (2011),Median Rent (2011),Median Home Value (2011),Population (2012),Median Age (2012),Household Income (2012),Unemployment Rate (2012),Median Rent (2012),Median Home Value (2012),Population (2013),Median Age (2013),Household Income (2013),Unemployment Rate (2013),Median Rent (2013),Median Home Value (2013),Population (2014),Median Age (2014),Household Income (2014),Unemployment Rate (2014),Median Rent (2014),Median Home Value (2014),Population (2015),Median Age (2015),Household Income (2015),Unemployment Rate (2015),Median Rent (2015),Median Home Value (2015)
Oregon,3801991,38.2,49850,5.03094299802393,716,252600,3836628.0,38.4,50036.0,5.483434932967178,729.0,246100.0,3868721.0,38.7,50229.0,5.717419271123454,749.0,238000.0,3900343.0,38.9,50521.0,5.287278580371009,766.0,234100.0,3939233.0,39.1,51243.0,4.671366227892587,779.0,237300.0
Pennsylvania,12660739,39.9,51651,4.017569590527062,617,163200,12699589.0,40.1,52267.0,4.319667353014338,632.0,164900.0,12731381.0,40.3,52548.0,4.567713431873573,652.0,164700.0,12758729.0,40.4,53115.0,4.361468920611136,670.0,164900.0,12779559.0,40.5,53599.0,4.029818243336879,677.0,166000.0
Rhode Island,1053959,39.1,55975,4.78775739853258,761,270600,1052471.0,39.4,56102.0,5.121661309432754,765.0,259400.0,1051695.0,39.6,56361.0,5.336623260546071,781.0,247400.0,1053252.0,39.7,56423.0,5.104286533517145,786.0,241200.0,3583073.0,38.7,19350.0,6.580161777334707,355.0,120500.0
South Carolina,4575864,37.7,44587,4.965488484797625,548,137000,4630351.0,37.9,44623.0,5.373998645027126,569.0,137400.0,4679602.0,38.1,44779.0,5.522777364399793,582.0,137400.0,4727273.0,38.3,45033.0,5.122297781405897,597.0,137600.0,1053661.0,39.7,56852.0,4.595216108406784,791.0,238000.0
South Dakota,807697,37.1,48010,2.5947849255351945,482,127000,815871.0,37.1,49091.0,2.6581408090249563,505.0,129800.0,825198.0,36.9,49495.0,2.6963225795506047,517.0,132400.0,834708.0,36.8,50338.0,2.5594579182181074,533.0,135700.0,4777576.0,38.6,45483.0,4.562501988456071,608.0,139900.0
Tennessee,6297991,37.8,43989,4.558548908691677,541,137200,6353226.0,38.0,44140.0,4.794383199968016,557.0,138700.0,6402387.0,38.2,44298.0,4.94631143040869,568.0,139200.0,6451365.0,38.3,44621.0,4.60087128847926,581.0,139900.0,843190.0,36.8,50957.0,2.3980360298390635,542.0,140500.0
Texas,24774187,33.5,50920,3.5942168354505437,651,126400,25208897.0,33.6,51563.0,3.80979778686866,666.0,128000.0,25639373.0,33.8,51900.0,3.978771243742973,688.0,128900.0,26092033.0,33.9,52576.0,3.7658238436230707,707.0,131400.0,6499615.0,38.4,45219.0,4.09711959862238,591.0,142100.0
Utah,2715379,29.1,57783,3.220655385491307,707,221300,2766233.0,29.3,58164.0,3.48864321985892,721.0,217800.0,2813673.0,29.6,58821.0,3.6055717917469443,739.0,212800.0,2858111.0,29.9,59846.0,3.3496949558642055,755.0,212500.0,26538614.0,34.1,53207.0,3.4367582270875188,722.0,136000.0
Vermont,624958,41.4,53422,3.542798076030709,725,213000,625498.0,41.7,54168.0,3.662841447934286,734.0,215800.0,625904.0,42.0,54267.0,3.761918760704517,754.0,216800.0,626358.0,42.2,54447.0,3.4553721673547715,766.0,216200.0,2903379.0,30.1,60727.0,2.819817874276834,768.0,215900.0
Virginia,7926192,37.3,63302,3.3475217355320184,856,254600,8014955.0,37.4,63636.0,3.580731270481244,885.0,249700.0,8100653.0,37.5,63907.0,3.7420316609043742,910.0,244600.0,8185131.0,37.6,64792.0,3.583449061475009,926.0,243500.0,8256630.0,37.6,65015.0,3.343131519760483,936.0,245000.0
Washington,6652845,37.1,58890,4.29984465292668,806,283200,6738714.0,37.2,59374.0,4.586171782924754,833.0,272900.0,6819579.0,37.3,59478.0,4.79729027261067,853.0,262100.0,6899123.0,37.4,60294.0,4.4781778785506505,868.0,257200.0,626604.0,42.4,55176.0,3.025355727062068,778.0,217500.0
West Virginia,1846372,41.1,39550,3.3668188209093293,422,96500,1850481.0,41.3,40400.0,3.518814837871883,436.0,97300.0,1853619.0,41.5,41043.0,3.741383747145449,448.0,98500.0,1853881.0,41.6,41576.0,3.615927883181283,461.0,100200.0,6985464.0,37.4,61062.0,3.976915491941552,883.0,259500.0
Wisconsin,5664893,38.3,52374,3.8811853992652643,614,169700,5687219.0,38.5,52627.0,4.052173830478481,624.0,169000.0,5706871.0,38.7,52413.0,4.196064708664345,636.0,167100.0,5724692.0,38.8,52738.0,3.8720336395390356,648.0,165900.0,5742117.0,39.0,53357.0,3.3744174840045926,651.0,165800.0
Wyoming,554697,36.9,56380,2.555088633974945,591,181900,562803.0,36.9,56573.0,2.760646265211806,618.0,184400.0,570134.0,36.8,57406.0,2.9396597992752582,647.0,185900.0,575251.0,36.8,58252.0,2.772702698474231,663.0,189300.0,1851420.0,41.8,41751.0,3.4212118265979625,474.0,103800.0
Puerto Rico,3742586,36.5,19122,6.3608157568055885,336,117300,3716727.0,37.0,19515.0,6.516970442004484,344.0,121500.0,3682966.0,37.5,19624.0,6.728924459253765,351.0,121200.0,3638965.0,38.1,19686.0,6.6724466984431015,357.0,121700.0,579679.0,36.8,58840.0,2.587984039442519,674.0,194800.0
